location,bedrooms,bath,size,price
"Narinda,Sutrapur,Dhaka",12,10,"3,500",13000000
"AbdulAzizLane,Lalbagh,Dhaka",2,1,"1,260",32500000
"KhalifaGhat,Kamrangirchar,Dhaka",3,3,"3,600",48400000
"Bochila,Mohammadpur,Dhaka",6,6,"2,545",101000000
"Bochila,Mohammadpur,Dhaka",3,3,"1,600",7800000
"Bochila,Mohammadpur,Dhaka",3,3,"1,600",7800000
"Bochila,Mohammadpur,Dhaka",3,3,"1,600",7800000
"Bochila,Mohammadpur,Dhaka",3,3,"1,600",7800000
"Bochila,Mohammadpur,Dhaka",3,3,"1,600",7800000
"Bochila,Mohammadpur,Dhaka",3,3,"1,600",7800000
"Bochila,Mohammadpur,Dhaka",3,3,"1,600",7800000
"Bochila,Mohammadpur,Dhaka",3,3,"1,600",7800000
"EastRampura,Rampura,Dhaka",3,3,"1,100",6800000
"EastRampura,Rampura,Dhaka",2,2,950,5000000
"Pirerbag,Mirpur,Dhaka",4,3,"1,900",10000000
"Pirerbag,Mirpur,Dhaka",3,3,"1,400",8200000
"SouthMonipur,Mirpur,Dhaka",3,3,"1,250",6500000
"Pirerbag,Mirpur,Dhaka",3,3,"1,000",4000000
"BlockJ,BashundharaR-A,Dhaka",3,4,"1,695",13500000
"BlockJ,BashundharaR-A,Dhaka",3,4,"1,695",13500000
"BlockJ,BashundharaR-A,Dhaka",3,4,"1,695",13500000
"BlockJ,BashundharaR-A,Dhaka",3,4,"1,695",13500000
"KhilbariTek,Badda,Dhaka",3,3,"1,300",5460000
"Tikatuli,Sutrapur,Dhaka",3,3,"1,475",11000000
"NobodoyHousingSociety,Mohammadpur,Dhaka",3,3,"1,120",6500000
"BlockI,BashundharaR-A,Dhaka",7,8,"9,300",65000000
"Pirerbag,Mirpur,Dhaka",3,3,"1,400",8200000
"Pirerbag,Mirpur,Dhaka",3,3,"1,400",8200000
"MerulBadda,Badda,Dhaka",3,3,"1,250",6875000
"Tikatuli,Sutrapur,Dhaka",3,3,"1,425",11000000
"BaddaNagorLane,Hazaribag,Dhaka",2,2,850,2975000
"MerulBadda,Badda,Dhaka",3,3,"1,225",6737500
"MerulBadda,Badda,Dhaka",3,3,"1,050",5775000
"MerulBadda,Badda,Dhaka",3,3,"1,050",5775000
"MerulBadda,Badda,Dhaka",3,3,"1,225",6737500
"Pirerbag,Mirpur,Dhaka",3,3,"1,400",8400000
"Pirerbag,Mirpur,Dhaka",3,3,"1,400",8200000
"Bochila,Mohammadpur,Dhaka",3,3,"1,445",4000000
"Bochila,Mohammadpur,Dhaka",3,3,"1,445",4000000
"Bochila,Mohammadpur,Dhaka",3,3,"1,445",4000000
"Bochila,Mohammadpur,Dhaka",3,3,"1,445",4000000
"Bochila,Mohammadpur,Dhaka",3,3,"1,445",4000000
"Bochila,Mohammadpur,Dhaka",3,3,"1,445",4000000
"Bochila,Mohammadpur,Dhaka",3,3,"1,445",4000000
"Bochila,Mohammadpur,Dhaka",3,3,"1,445",4000000
"Bochila,Mohammadpur,Dhaka",3,3,"1,445",4000000
"Bochila,Mohammadpur,Dhaka",3,3,"1,445",4000000
"Bochila,Mohammadpur,Dhaka",3,3,"1,455",4000000
"Bochila,Mohammadpur,Dhaka",3,3,"1,455",4000000
"Bochila,Mohammadpur,Dhaka",3,3,"1,455",4000000
"Bochila,Mohammadpur,Dhaka",3,3,"1,455",4000000
"Bochila,Mohammadpur,Dhaka",3,3,"1,455",4000000
"Bochila,Mohammadpur,Dhaka",3,3,"1,445",4000000
"Bochila,Mohammadpur,Dhaka",3,3,"1,455",4000000
"Bochila,Mohammadpur,Dhaka",3,3,"1,455",4000000
"Bochila,Mohammadpur,Dhaka",3,3,"1,600",7800000
"Bochila,Mohammadpur,Dhaka",3,3,"1,600",7800000
"Bochila,Mohammadpur,Dhaka",3,3,"1,600",7800000
"Bochila,Mohammadpur,Dhaka",3,3,"1,600",7800000
"Bochila,Mohammadpur,Dhaka",3,3,"1,600",7800000
"Bochila,Mohammadpur,Dhaka",3,3,"1,600",7800000
"Bochila,Mohammadpur,Dhaka",3,3,"1,600",7800000
"Bochila,Mohammadpur,Dhaka",3,3,"1,600",7800000
"Bochila,Mohammadpur,Dhaka",3,3,"1,600",7800000
"Bochila,Mohammadpur,Dhaka",3,3,"1,600",7800000
"Bochila,Mohammadpur,Dhaka",3,3,"1,600",7800000
"Bochila,Mohammadpur,Dhaka",3,3,"1,600",7800000
"Bochila,Mohammadpur,Dhaka",3,3,"1,600",7800000
"Bochila,Mohammadpur,Dhaka",3,3,"1,445",4000000
"MerulBadda,Badda,Dhaka",3,3,"1,250",6875000
"MerulBadda,Badda,Dhaka",3,3,"1,250",6875000
"MerulBadda,Badda,Dhaka",3,3,"1,075",5912500
"MerulBadda,Badda,Dhaka",3,3,"1,075",5912500
"MerulBadda,Badda,Dhaka",3,3,"1,225",6737500
"MerulBadda,Badda,Dhaka",3,3,"1,050",5775000
"MerulBadda,Badda,Dhaka",3,3,"1,075",5912500
"Bochila,Mohammadpur,Dhaka",3,3,"1,600",7800000
"Bochila,Mohammadpur,Dhaka",3,3,"1,600",7800000
"BlockE,Lalmatia,Dhaka",3,3,"1,385",22160000
"Bochila,Mohammadpur,Dhaka",3,3,"1,600",7800000
"Bochila,Mohammadpur,Dhaka",3,3,"1,600",7800000
"Bochila,Mohammadpur,Dhaka",3,3,"1,600",7800000
"Bochila,Mohammadpur,Dhaka",3,3,"1,600",7800000
"Bochila,Mohammadpur,Dhaka",3,3,"1,600",7800000
"Bochila,Mohammadpur,Dhaka",3,3,"1,600",7800000
"Bochila,Mohammadpur,Dhaka",3,3,"1,600",7800000
"Bochila,Mohammadpur,Dhaka",3,3,"1,600",7800000
"Bochila,Mohammadpur,Dhaka",3,3,"1,600",7800000
"Bochila,Mohammadpur,Dhaka",3,3,"1,600",7800000
"BaddaNagorLane,Hazaribag,Dhaka",2,2,850,2975000
"BaddaNagorLane,Hazaribag,Dhaka",2,2,625,2187500
"Bochila,Mohammadpur,Dhaka",3,3,"1,455",4000000
"Bochila,Mohammadpur,Dhaka",3,3,"1,455",4000000
"Bochila,Mohammadpur,Dhaka",3,3,"1,455",4000000
"Bochila,Mohammadpur,Dhaka",3,3,"1,455",4000000
"BlockA,Lalmatia,Dhaka",3,3,"1,991",24000000
"SouthBanasreeProject,Banasree,Dhaka",3,3,"1,600",8000000
"Kallyanpur,Mirpur,Dhaka",3,3,"1,200",4300000
"RoadNo2,Shyamoli,Dhaka",3,2,"1,250",8000000
"BlockA,BashundharaR-A,Dhaka",3,3,"1,790",10000000
"BlockA,BashundharaR-A,Dhaka",3,3,"1,790",10000000
"Bochila,Mohammadpur,Dhaka",3,3,"1,600",7800000
"BaddaNagorLane,Hazaribag,Dhaka",2,2,850,2975000
"BaddaNagorLane,Hazaribag,Dhaka",2,2,625,2187000
"BaddaNagorLane,Hazaribag,Dhaka",2,2,625,2187500
"UttarBadda,Badda,Dhaka",3,3,"1,337",8022000
"UttarBadda,Badda,Dhaka",3,3,"1,523",9138000
"UttarBadda,Badda,Dhaka",3,3,"1,320",7920000
"UttarBadda,Badda,Dhaka",3,3,"1,337",8022000
"UttarBadda,Badda,Dhaka",3,3,"1,320",7920000
"UttarBadda,Badda,Dhaka",3,3,"1,320",7920000
"UttarBadda,Badda,Dhaka",3,3,"1,523",9138000
"UttarBadda,Badda,Dhaka",3,3,"1,337",8022000
"UttarBadda,Badda,Dhaka",3,3,"1,523",9138000
"UttarBadda,Badda,Dhaka",3,3,"1,320",7920000
"UttarBadda,Badda,Dhaka",3,3,"1,337",8022000
"UttarBadda,Badda,Dhaka",3,3,"1,320",7920000
"UttarBadda,Badda,Dhaka",3,3,"1,523",9138000
"UttarBadda,Badda,Dhaka",3,3,"1,337",8022000
"UttarBadda,Badda,Dhaka",3,3,"1,523",9138000
"MiddleMonipur,Mirpur,Dhaka",2,2,"1,000",4000000
"BlockH,Banasree,Dhaka",3,3,"1,200",6600000
"BlockH,Banasree,Dhaka",3,3,"1,200",6600000
"BlockH,Banasree,Dhaka",3,3,"1,280",7000000
"BlockH,Banasree,Dhaka",3,3,"1,220",6700000
"BlockH,Banasree,Dhaka",3,3,"1,200",6600000
"SunibirHousingSociety,Adabor,Dhaka",2,2,750,3800000
"BlockH,Banasree,Dhaka",3,3,"1,220",6700000
"BlockH,Banasree,Dhaka",3,3,"1,200",6600000
"BlockH,Banasree,Dhaka",3,3,"1,280",7000000
"MalibagBazarRd,Malibagh,Dhaka",2,2,"1,070",6000000
"SunibirHousingSociety,Adabor,Dhaka",2,2,750,3800000
"SunibirHousingSociety,Adabor,Dhaka",2,2,750,3800000
"NorthAdabor,Adabor,Dhaka",3,3,"1,005",6200000
"ShantinagarBazarRd,Shantinagar,Dhaka",4,3,"1,618",19800000
"Kallyanpur,Mirpur,Dhaka",3,3,"1,200",4500000
"Kallyanpur,Mirpur,Dhaka",3,3,"1,200",4400000
"BaddaNagorLane,Hazaribag,Dhaka",2,2,850,2975000
"BaddaNagorLane,Hazaribag,Dhaka",2,2,625,2187500
"BaddaNagorLane,Hazaribag,Dhaka",2,2,850,2975000
"BaddaNagorLane,Hazaribag,Dhaka",2,2,625,2187000
"BaddaNagorLane,Hazaribag,Dhaka",2,2,625,2975000
"BaddaNagorLane,Hazaribag,Dhaka",2,2,625,2187000
"EastRampura,Rampura,Dhaka",3,3,"1,395",6500000
"GanaktuliRoad,Hazaribag,Dhaka",2,1,350,1200000
"GanaktuliRoad,Hazaribag,Dhaka",2,1,350,1100000
"SouthBanasreeProject,Banasree,Dhaka",3,2,"1,100",5700000
"Section2,Mirpur,Dhaka",3,3,"1,250",7500000
"EastRampura,Rampura,Dhaka",3,3,"1,250",5000000
"Pirerbag,Mirpur,Dhaka",3,3,"1,350",6500000
"SouthBanasreeProject,Banasree,Dhaka",3,2,"1,100",5700000
"SouthBanasreeProject,Banasree,Dhaka",3,2,"1,100",5700000
"SouthBanasreeProject,Banasree,Dhaka",3,2,"1,100",5700000
"SouthBanasreeProject,Banasree,Dhaka",3,2,"1,100",5700000
"SouthBanasreeProject,Banasree,Dhaka",3,2,"1,100",5700000
"EastKazipara,Mirpur,Dhaka",2,2,900,4350000
"RoadNo11A,Dhanmondi,Dhaka",3,4,"2,600",35000000
